district_name	n_cases
Jaffna	636
Monaragala	607
Badulla	573
Matale	534
Trincomalee	506
NIHS	488
Anuradhapura	364
Polonnaruwa	361
Ampara	322
Nuwaraeliya	241
Vavuniya	82
Kilinochchi	50
Mannar	47
Mullaitivu	33
Colombo	10085
Gampaha	9093
Matara	3451
Kalutara	3250
Ratnapura	3091
Galle	2872
Kandy	2732
CMC	2251
Hambantota	1420
Kegalle	1329
Kurunegala	1206
Batticaloa	1111
Puttalam	874
Kalmunai	678
