district_id	district_name	n_cases
LK-11	Colombo	10973
LK-11-CMC	CMC	2343
LK-12	Gampaha	10431
LK-13	Kalutara	3527
LK-13-NIHS	NIHS	559
LK-21	Kandy	3167
LK-22	Matale	576
LK-23	Nuwaraeliya	277
LK-31	Galle	3094
LK-32	Matara	3799
LK-33	Hambantota	1531
LK-41	Jaffna	655
LK-42	Mannar	54
LK-43	Vavuniya	84
LK-44	Mullaitivu	35
LK-45	Kilinochchi	54
LK-51	Batticaloa	1148
LK-52	Ampara	356
LK-52-Kalmunai	Kalmunai	712
LK-53	Trincomalee	516
LK-61	Kurunegala	1369
LK-62	Puttalam	993
LK-71	Anuradhapura	444
LK-72	Polonnaruwa	416
LK-81	Badulla	648
LK-82	Monaragala	678
LK-91	Ratnapura	3250
LK-92	Kegalle	1470
