district_id	district_name	n_cases
LK-11	Colombo	18133
LK-11-CMC	CMC	3678
LK-12	Gampaha	19467
LK-13	Kalutara	5921
LK-13-NIHS	NIHS	1184
LK-21	Kandy	6526
LK-22	Matale	944
LK-23	Nuwaraeliya	690
LK-31	Galle	5006
LK-32	Matara	6021
LK-33	Hambantota	2452
LK-41	Jaffna	922
LK-42	Mannar	92
LK-43	Vavuniya	158
LK-44	Mullaitivu	73
LK-45	Kilinochchi	89
LK-51	Batticaloa	1468
LK-52	Ampara	622
LK-52-Kalmunai	Kalmunai	1025
LK-53	Trincomalee	664
LK-61	Kurunegala	2578
LK-62	Puttalam	1987
LK-71	Anuradhapura	885
LK-72	Polonnaruwa	720
LK-81	Badulla	1409
LK-82	Monaragala	1141
LK-91	Ratnapura	4910
LK-92	Kegalle	2581
