district_id	district_name	n_cases
LK-11	Colombo	15314
LK-11-CMC	CMC	3106
LK-12	Gampaha	16164
LK-13	Kalutara	5063
LK-13-NIHS	NIHS	926
LK-21	Kandy	5168
LK-22	Matale	802
LK-23	Nuwaraeliya	522
LK-31	Galle	4315
LK-32	Matara	5411
LK-33	Hambantota	2141
LK-41	Jaffna	813
LK-42	Mannar	85
LK-43	Vavuniya	131
LK-44	Mullaitivu	48
LK-45	Kilinochchi	75
LK-51	Batticaloa	1329
LK-52	Ampara	549
LK-52-Kalmunai	Kalmunai	887
LK-53	Trincomalee	615
LK-61	Kurunegala	2111
LK-62	Puttalam	1597
LK-71	Anuradhapura	740
LK-72	Polonnaruwa	623
LK-81	Badulla	1082
LK-82	Monaragala	974
LK-91	Ratnapura	4339
LK-92	Kegalle	2098
