District/ Unit	No of Cases	%
Gampaha	15762	20.93%
Colombo	15000	19.91%
Matara	5280	7.01%
Kandy	5015	6.66%
Kalutara	4978	6.61%
Ratnapura	4267	5.67%
Galle	4228	5.61%
CMC	3032	4.03%
Hambantota	2102	2.79%
Kurunegala	2069	2.75%
Kegalle	2038	2.71%
Puttalam	1531	2.03%
Batticaloa	1315	1.75%
Badulla	1056	1.40%
