Province	No of Cases	%
Western	39667	52.66%
Southern	11610	15.41%
Central	6325	8.40%
Sabaragamuwa	6305	8.37%
North Western	3600	4.78%
Eastern	3345	4.44%
Uva	2000	2.66%
North Central	1331	1.77%
Northern	1138	1.51%
