District/ Unit	No of Cases	%
Monaragala	944	1.25%
NIHS	895	1.19%
Kalmunai	879	1.17%
Jaffna	805	1.07%
Matale	794	1.05%
Anuradhapura	723	0.96%
Trincomalee	613	0.81%
Polonnaruwa	608	0.81%
Ampara	538	0.71%
Nuwaraeliya	516	0.69%
Vavuniya	128	0.17%
Mannar	85	0.11%
Kilinochchi	73	0.10%
Mullaitivu	47	0.06%
