District/ Unit	No of Cases	%
Jaffna	636	1.30%
Monaragala	613	1.25%
Badulla	581	1.19%
Matale	534	1.09%
NIHS	515	1.05%
Trincomalee	509	1.04%
Polonnaruwa	376	0.77%
Anuradhapura	374	0.76%
Ampara	335	0.68%
Nuwaraeliya	244	0.50%
Vavuniya	82	0.17%
Mannar	53	0.11%
Kilinochchi	50	0.10%
Mullaitivu	33	0.07%
