District/ Unit	No of Cases	%
Colombo	10213	20.83%
Gampaha	9297	18.96%
Matara	3483	7.10%
Kalutara	3276	6.68%
Ratnapura	3100	6.32%
Galle	2904	5.92%
Kandy	2796	5.70%
CMC	2327	4.75%
Hambantota	1439	2.94%
Kegalle	1351	2.76%
Kurunegala	1207	2.46%
Batticaloa	1115	2.27%
Puttalam	898	1.83%
Kalmunai	684	1.40%
