Province	No of Cases	%
Western	25628	52.28%
Southern	7826	15.96%
Sabaragamuwa	4451	9.08%
Central	3574	7.29%
Eastern	2643	5.39%
North Western	2105	4.29%
Uva	1194	2.44%
Northern	854	1.74%
North Central	750	1.53%
