District/ Unit	No of Cases	%
Monaragala	710	1.26%
Badulla	708	1.25%
Jaffna	665	1.18%
NIHS	625	1.11%
Matale	601	1.07%
Trincomalee	528	0.94%
Anuradhapura	470	0.83%
Polonnaruwa	442	0.78%
Ampara	391	0.69%
Nuwaraeliya	320	0.57%
Vavuniya	87	0.15%
Mannar	60	0.11%
Kilinochchi	55	0.10%
Mullaitivu	35	0.06%
