District/ Unit	No of Cases	%
Colombo	11540	20.45%
Gampaha	11218	19.88%
Matara	4069	7.21%
Kalutara	3772	6.69%
Kandy	3396	6.02%
Ratnapura	3394	6.02%
Galle	3263	5.78%
CMC	2447	4.34%
Hambantota	1639	2.90%
Kegalle	1547	2.74%
Kurunegala	1481	2.62%
Batticaloa	1173	2.08%
Puttalam	1044	1.85%
Kalmunai	742	1.32%
