Province	No of Cases	%
Western	29602	52.47%
Southern	8971	15.90%
Sabaragamuwa	4941	8.76%
Central	4317	7.65%
Eastern	2834	5.02%
North Western	2525	4.48%
Uva	1418	2.51%
North Central	912	1.62%
Northern	902	1.60%
