District/ Unit	No of Cases	%
Colombo	11163	20.60%
Gampaha	10662	19.68%
Matara	3921	7.24%
Kalutara	3600	6.64%
Ratnapura	3279	6.05%
Kandy	3240	5.98%
Galle	3178	5.86%
CMC	2395	4.42%
Hambantota	1571	2.90%
Kegalle	1474	2.72%
Kurunegala	1390	2.57%
Batticaloa	1155	2.13%
Puttalam	1010	1.86%
Kalmunai	717	1.32%
