district_id	district_name	n_cases
LK-11	Colombo	16140
LK-11-CMC	CMC	3290
LK-12	Gampaha	17135
LK-13	Kalutara	5294
LK-13-NIHS	NIHS	976
LK-21	Kandy	5515
LK-22	Matale	824
LK-23	Nuwaraeliya	585
LK-31	Galle	4471
LK-32	Matara	5574
LK-33	Hambantota	2215
LK-41	Jaffna	828
LK-42	Mannar	86
LK-43	Vavuniya	136
LK-44	Mullaitivu	49
LK-45	Kilinochchi	78
LK-51	Batticaloa	1360
LK-52	Ampara	565
LK-52-Kalmunai	Kalmunai	905
LK-53	Trincomalee	620
LK-61	Kurunegala	2228
LK-62	Puttalam	1696
LK-71	Anuradhapura	752
LK-72	Polonnaruwa	650
LK-81	Badulla	1179
LK-82	Monaragala	1011
LK-91	Ratnapura	4526
LK-92	Kegalle	2217
