MOH Area	Cases reported	
	Week 23	Week 24
Pelmadulla	32	25
Rathnapura MC	21	25
Ratnapura PS	30	15
Kegalle District		
Dehiovita	29	18
Mawanella	14	14
Ruwanwella	8	14
Warakapola	14	10
Yatiyanthota	9	14
EASTERN PROVINCE		
Batticaloa District		
Batticaloa 24 14		
NORTH CENTRAL PROVINCE		
Polonnaruwa District		
Thamankaduwa 7 12		
NORTH WESTERN PROVINCE		
Kurunegala District		
Kuliyapitiya	2	14
Mallawapitiya	10	13
Puttalam District		
Chilaw	9	31
Madampe	5	10
Wennappuwa	18	13
UVA PROVINCE		
Badulla District		
Badulla 11 26		
