Cases reported MOH Area Week 23 Week 24		
		
WESTERN PROVINCE		
Colombo District		
Battaramulla	30	54
Boralesgamuwa	31	55
Dehiwala	25	55
Egodauyana	23	34
Gothatuwa	47	86
Hanwella	40	33
Homagama	41	99
Kaduwela	80	109
Kahathuduwa	19	35
Kesbewa	28	19
Kolonnawa	5	12
Maharagama	121	189
Moratuwa	32	48
Nugegoda	31	66
Padukka	36	28
Piliyandala	20	66
Pitakotte	12	20
Rathmalana	24	50
CMC		
D1-CMC	9	20
D2A-CMC	7	15
D2B-CMC	13	11
D3-CMC	22	45
D4-CMC	23	35
D5-CMC	9	24
Gampaha District		
Aththanagalla	23	33
Biyagama	132	233
Divulapitiya	11	20
Gampaha	27	34
Ja-Ela	52	80
Katana	25	49
Kelaniya	84	119
