MOH Area	Cases reported	
	Week 23	Week 24
Mahara	62	108
Meerigama	16	31
Minuwangoda	47	44
Negombo	19	56
Pugoda(Dompe)	26	39
Ragama	22	23
Seeduwa	56	96
Wattala	46	75
Kalutara District		
Bandaragama	54	75
Bulathsinhala	13	12
Horana	34	48
Ingiriya	30	12
Madurawala	16	25
Mathugama	6	15
Millaniya	14	11
Panadura	45	113
Wadduwa	24	32
NIHS		
Kalutara 29 28		
Payagala 24 21		
SOUTHERN PROVINCE		
Matara District		
Akuressa	12	39
Athuraliya	13	19
Deniyaya	9	13
Devinuwara	16	25
Dickwella	8	14
Kamburupitiya	2	23
Malimbada	6	15
Matara MC	85	157
Matara PS	14	11
Morawaka	7	22
Mulatiyana	6	13
Pasgoda	2	12
Weligama	26	69
Welipitiya	4	14
Galle District		
