District/ RDHS	No. of cases					
	2025		2026		Up to Week 24	
					2025	2026
	Week  23	Week 24	Week  23	Week 24		
Colombo	304	292	733*	1208	6895	10847
Gampaha	223	212	648*	1039	3953	7442
Kalutara	59	64	321	424	1065	3164
Kandy	107	151	285*	376	1769	2239
Matale	17	11	45*	29	621	485
Nuwara Eliya	4	13	19*	23	97	178
Galle	45	43	128*	275	1132	2597
Hambantota	20	18	95	102	436	1200
Matara	57	43	220*	468	856	3061
Jaffna	15	91	19*	24	616	605
Kilinochchi	2	3	4	Nil	46	47
Mannar	7	Nil	2	4	96	47
Vavuniya	3	2	3	5	27	75
Mullaitivu	Nil	1	4	3	10	33
Batticaloa	44	45	51	49	1468	1057
Ampara	4	4	21	29	82	272
Trincomalee	32	17	33	26	767	470
Kalmunai*	6	5	17	19	278	641
Kurunegala	63	64	73*	135	700	1095
Puttalam	8	8	59*	83	385	708
Anuradhapura	3	7	19	24	267	298
Polonnaruwa	5	15	27	39	187	315
Badulla	28	20	43*	56	382	505
Monaragala	39	22	34	31	471	493
Ratnapura	177	136	258*	247	3134	2902
Kegalle	42	47	94	106	747	1145
Total*	1314	1334	3255*		4824  26487  41921	
