Province	No of Cases	%
Western	35823	52.63%
Southern	10657	15.66%
Sabaragamuwa	5756	8.46%
Central	5560	8.17%
Eastern	3152	4.63%
North Western	3128	4.60%
Uva	1796	2.64%
North Central	1156	1.70%
Northern	1043	1.53%
