District/ Unit	No of Cases	%
Gampaha	13976	20.53%
Colombo	13706	20.13%
Matara	4834	7.10%
Kalutara	4548	6.68%
Kandy	4428	6.50%
Ratnapura	3937	5.78%
Galle	3910	5.74%
CMC	2806	4.12%
Hambantota	1913	2.81%
Kegalle	1819	2.67%
Kurunegala	1816	2.67%
Puttalam	1312	1.93%
Batticaloa	1274	1.87%
Badulla	939	1.38%
