District/ Unit	No of Cases	%
Monaragala	857	1.26%
Kalmunai	828	1.22%
NIHS	787	1.16%
Jaffna	751	1.10%
Matale	718	1.05%
Trincomalee	585	0.86%
Anuradhapura	595	0.87%
Polonnaruwa	561	0.82%
Ampara	465	0.68%
Nuwaraeliya	414	0.61%
Vavuniya	117	0.17%
Mannar	68	0.10%
Kilinochchi	67	0.10%
Mullaitivu	40	0.06%
