district_id	district_name	n_cases
LK-11	Colombo	18652
LK-11-CMC	CMC	3787
LK-12	Gampaha	20034
LK-13	Kalutara	6079
LK-13-NIHS	NIHS	1219
LK-21	Kandy	6818
LK-22	Matale	976
LK-23	Nuwaraeliya	725
LK-31	Galle	5160
LK-32	Matara	6093
LK-33	Hambantota	2510
LK-41	Jaffna	942
LK-42	Mannar	94
LK-43	Vavuniya	162
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1506
LK-52	Ampara	642
LK-52-Kalmunai	Kalmunai	1072
LK-53	Trincomalee	676
LK-61	Kurunegala	2651
LK-62	Puttalam	2034
LK-71	Anuradhapura	937
LK-72	Polonnaruwa	744
LK-81	Badulla	1468
LK-82	Monaragala	1174
LK-91	Ratnapura	5003
LK-92	Kegalle	2713
