District/ Unit	No of Cases	%
Colombo	9692	21.05%
Gampaha	8459	18.37%
Matara	3344	7.26%
Kalutara	3085	6.70%
Ratnapura	3046	6.62%
Galle	2747	5.97%
Kandy	2592	5.63%
CMC	2127	4.62%
Hambantota	1349	2.93%
Kegalle	1257	2.73%
Kurunegala	1173	2.55%
Batticaloa	1094	2.38%
Puttalam	786	1.71%
Kalmunai	666	1.45%
