District/ Unit	No of Cases	%
Jaffna	628	1.36%
Monaragala	571	1.24%
Badulla	540	1.17%
Matale	520	1.13%
Trincomalee	488	1.06%
NIHS	460	1.00%
Polonnaruwa	350	0.76%
Anuradhapura	341	0.74%
Ampara	297	0.65%
Nuwaraeliya	215	0.47%
Vavuniya	80	0.17%
Kilinochchi	50	0.11%
Mannar	47	0.10%
Mullaitivu	33	0.07%
