Province	No of Cases	%
Western	23823	51.75%
Southern	7440	16.16%
Sabaragamuwa	4303	9.35%
Central	3327	7.23%
Eastern	2545	5.53%
North Western	1959	4.26%
Uva	1111	2.41%
Northern	838	1.82%
North Central	691	1.50%
