district_id	district_name	n_cases
LK-11	Colombo	10213
LK-11-CMC	CMC	2327
LK-12	Gampaha	9297
LK-13	Kalutara	3276
LK-13-NIHS	NIHS	515
LK-21	Kandy	2796
LK-22	Matale	534
LK-23	Nuwaraeliya	244
LK-31	Galle	2904
LK-32	Matara	3483
LK-33	Hambantota	1439
LK-41	Jaffna	636
LK-42	Mannar	53
LK-43	Vavuniya	82
LK-44	Mullaitivu	33
LK-45	Kilinochchi	50
LK-51	Batticaloa	1115
LK-52	Ampara	335
LK-52-Kalmunai	Kalmunai	684
LK-53	Trincomalee	509
LK-61	Kurunegala	1207
LK-62	Puttalam	898
LK-71	Anuradhapura	374
LK-72	Polonnaruwa	376
LK-81	Badulla	581
LK-82	Monaragala	613
LK-91	Ratnapura	3100
LK-92	Kegalle	1351
