hospital_name	n_cases_last_week	n_cases_this_week
	27	28
	27	28
	27	28
BH - Balangoda	31	20
BH - Balapitiya	36	24
BH - Dambadeniya	18	18
BH - Gampola	29	42
BH - Kahawatta	22	23
BH - Kamburupitiya	38	38
BH - Karawanella	16	17
BH - Mahiyanganaya	15	20
BH - Marawila	38	39
BH - Mawanella	14	19
BH - Minuwangoda	22	25
BH - Nikaweratiya	21	18
BH - Panadura	86	92
BH - Tangalle	58	54
BH - Wathupitiwala	31	28
DGH - Awissawella	34	33
DGH - Chilaw	18	22
DGH - Embilipitiya	20	27
DGH - Gampaha	81	79
DGH - Hambantota	26	18
DGH - Horana	47	43
DGH - Kegalle	20	26
DGH - Matale	20	17
DGH - Monaragala	13	20
DGH - Nawalapitiya	20	20
DGH - Negambo	169	140
DGH - Polonnaruwa	17	20
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	74	78
NH - Galle	122	101
NH - Kandy	107	102
NHSL	152	144
NIID	212	213
PGH - Badulla	35	44
TH - Colombo North	143	167
TH - Colombo South	175	178
TH - Kalutara	61	71
TH - Kuliyapitiya	26	34
TH - Peradeniya	75	77
TH - Ratnapura	84	64
TH-Matara	195	187
