district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	230	250	1668	1628	7963	16606
LK-12	Gampaha	153	164	1860	1843	4646	14110
LK-13	Kalutara	51	73	693	617	1321	5399
LK-21	Kandy	147	145	635	665	2422	4454
LK-22	Matale	14	11	80	65	674	722
LK-23	Nuwara Eliya	13	7	90	61	137	429
LK-31	Galle	53	57	410	438	1388	3947
LK-32	Matara	36	21	627	462	1009	4884
LK-33	Hambantota	31	37	220	180	558	1934
LK-41	Jaffna	15	25	55	49	695	756
LK-42	Mannar	0	2	10	7	104	71
LK-43	Vavuniya	0	0	10	23	28	117
LK-44	Mullaitivu	2	0	0	5	16	39
LK-45	Kilinochchi	1	0	2	11	49	68
LK-51	Batticaloa	18	18	70	63	1549	1279
LK-52	Ampara	5	8	55	56	102	471
LK-52-Kalmunai	Kalmunai	21	3	71	45	317	828
LK-53	Trincomalee	4	11	47	22	803	585
LK-61	Kurunegala	56	53	243	212	915	1833
LK-62	Puttalam	13	8	156	192	428	1340
LK-71	Anuradhapura	6	16	87	70	323	601
LK-72	Polonnaruwa	9	10	66	85	223	567
LK-81	Badulla	17	20	130	172	461	948
LK-82	Monaragala	28	23	93	97	575	869
LK-91	Ratnapura	110	87	327	380	3548	3962
LK-92	Kegalle	53	41	186	185	896	1844
