Province	No of Cases	%
Western	48033	52.96%
Southern	13417	14.79%
Central	8075	8.90%
Sabaragamuwa	7458	8.22%
North Western	4529	4.99%
Eastern	3746	4.13%
Uva	2527	2.79%
North Central	1585	1.75%
Northern	1325	1.46%
