District/ Unit	No of Cases	%
Gampaha	19291	21.27%
Colombo	18050	19.90%
Kandy	6456	7.12%
Matara	5999	6.61%
Kalutara	5889	6.49%
Galle	4989	5.50%
Ratnapura	4899	5.40%
CMC	3636	4.01%
Kegalle	2559	2.82%
Kurunegala	2559	2.82%
Hambantota	2429	2.68%
Puttalam	1970	2.17%
Batticaloa	1456	1.61%
Badulla	1395	1.54%
