District/ Unit	No of Cases	%
NIHS	1167	1.29%
Monaragala	1132	1.25%
Kalmunai	1007	1.11%
Matale	935	1.03%
Jaffna	923	1.02%
Anuradhapura	870	0.96%
Polonnaruwa	715	0.79%
Nuwaraeliya	684	0.75%
Trincomalee	664	0.73%
Ampara	619	0.68%
Vavuniya	156	0.17%
Mannar	92	0.10%
Kilinochchi	83	0.09%
Mullaitivu	71	0.08%
