MOH Area	Cases reported	
	Week 28  Week 29	
Ampara	14	14
Dehiyattakandiya	9	17
Uhana	15	17
Batticaloa District		
Batticaloa	16	21
Kalmunai RDHS		
Akkaraipattu	9	17
Trincomalee District		
Kanthale	7	15
NORTH CENTRAL PROVINCE		
Anuradhapura District		
Ipalogama	3	26
Nuwaragam-Palatha	3	31
Polonnaruwa District		
Hingurakoda	12	10
Thamankaduwa	17	11
NORTH WESTERN PROVINCE		
Kurunegala District		
Alawwa	10	18
Ambanpola	6	10
Galgamuwa	16	10
Kobeigane	7	15
Kuliyapitiya	7	12
Kurunegala	10	11
Mallawapitiya	4	13
Mawathagama	3	10
Pannala	25	29
Polpithigama	21	18
Puttalam District		
Chilaw	16	19
Dankotuwa	19	24
Kalpitiya	8	12
Madampe	27	14
Mahawewa	5	10
Nattandiya	26	41
Puttalam	3	10
Wennappuwa	65	76
UVA PROVINCE		
Badulla District		
Badulla	48	35
Hali Ela	16	14
Uva Paranagama	29	12
Welimada	21	14
Monaragala District		
Sevenagala	3	13
Siyambalanduwa	27	14
Thanamalwila	9	13
wellawaya	10	13
NORTHERN PROVINCE		
Vavuniy District		
Vavuniya	17	11
