Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	3	45 - 54	2	7
15-24	1	4	55 - 64	3	1
25-34	2	5	> 64	5	12
35-44	1	5	Total	16	37
