MOH Area	Cases reported	
	Week 28  Week 29	
Gangawata Korale	36	56
Hatharaliyadda	16	10
Kandy MC	104	106
Kundasale	16	25
Kurunduwaththa	33	29
Medadumbara	12	15
Menikhinna	26	26
Pasbage	29	37
Poojapitiya	18	12
Thalathuoya	17	24
Udunuwara	32	38
Waththegama	25	29
Werellagama	56	51
Yatinuwara	78	57
Matale District		
Matale	7	10
Rattota	8	16
Ukuwela	11	15
Yatawatta	4	11
Nuwara Eliya District		
Ambagamuwa	12	12
Maskeliya	1	12
Nawathispane	12	12
Rikillagaskada	18	26
SABARAGAMUWA PROVINCE		
Ratnapura District		
Eheliyagoda	25	32
Embilipitiya	10	27
Goadakawela	9	26
Kahawatta	8	21
Kalawana	24	27
Kiriella	23	23
Kolonna	13	15
Kuruvita	36	22
Nivithigala	30	21
Pelmadulla	28	26
Rathnapura MC	46	30
Ratnapura PS	42	28
Udawalwa	3	16
Kegalle District		
Aranayake	10	11
Bulathkohupitiya	7	12
Dehiovita	30	21
Deraniyagala	5	11
Galigamuwa	2	23
Kegalle	7	17
Mawanella	52	51
Rambukkana	12	21
Ruwanwella	14	21
Warakapola	25	22
Yatiyanthota	21	15
EASTERN PROVINCE		
Ampara District		
