MOH Area	Cases reported		
	Week 28  Week 29		
Panadura	174	152	
Wadduwa	50	42	
Walallawita	24	18	
NIHS			
Aluthgama	8	18	
Kalutara	66	51	
Payagala	41	47	
SOUTHERN PROVINCE			
Matara District			
Akuressa	25	15	
Athuraliya	24	11	
Kotapola	3	29	
Devinuwara	19	21	
Dickwella	37	40	
Kamburupitiya	18	12	
Malimbada	14	13	
Matara MC	105	133	
Matara PS	33	31	
Morawaka	22	17	
Thihagoda	12	11	
Weligama	57	57	
Welipitiya	38	34	
Galle District			
Akmeemana	35	12	
Ambalangoda	9	10	
Baddegama	37	27	
Balapitiya	21	28	
Bope Poddala	34	20	
Elpitiya	21	22	
Habaraduwa	24	11	
Hikkaduwa	15	15	
Imaduwa	31	20	
Karandeniya	20	23	
MC-Galle	101	69	
Rathgama	14	11	
Yakkalamulla	23	12	
Hambantota District			
Ambalantota	19	15	
Angunukolapelassa	13	10	
Beliatta	26	17	
Katuwana	22	27	
Tangalle	53	51	
Tissamaharama	10	12	
Walasmulla	13	11	
Weereketiya	8	13	
CENTRAL PROVINCE			
Kandy District			
Akurana	9	15	
Bambaradeniya	24	12	
Doluwa	24	11	
Galagedara	15	13	
Galaha	8	11	
Gampola	64	69	
