District/ RDHS	No. of cases					
	2025		2026		Up to Week 29	
					2025	2026
	Week  28	Week 29	Week  28	Week 29		
Colombo	250	297	1634*	1535	8260	18172
Gampaha	164	198	1837*	1814	4844	15910
Kalutara	73	50	615*	524	1371	5920
Kandy	145	160	662*	660	2582	5108
Matale	11	20	66*	77	694	800
Nuwara Eliya	7	23	61	95	160	521
Galle	57	35	439*	322	1423	4270
Hambantota	37	29	185*	176	587	2117
Matara	21	25	457*	454	1034	5327
Jaffna	25	43	49	55	738	812
Kilinochchi	Nil	3	11	6	52	74
Mannar	2	2	7	14	106	85
Vavuniya	Nil	3	23	11	31	128
Mullaitivu	Nil	Nil	5	7	16	46
Batticaloa	18	9	61*	47	1558	1324
Ampara	8	8	55*	70	110	541
Trincomalee	11	14	22	28	817	613
Kalmunai*	3	6	45	51	323	879
Kurunegala	53	53	213*	256	968	2090
Puttalam	8	13	194*	231	441	1572
Anuradhapura	16	23	69*	128	346	728
Polonnaruwa	10	9	85	48	232	615
Badulla	20	28	170*	114	489	1062
Monaragala	23	10	97	93	585	962
Ratnapura	87	83	372*	344	3631	4291
Kegalle	41	24	185	225	920	2067
Total*		1090  1168  7619*			7385  32318  76034	
