MOH Area	Cases reported	
	Week 28  Week 29	
WESTERN PROVINCE		
Colombo District		
Battaramulla	99	79
Boralesgamuwa	87	76
Dehiwala	43	71
Egodauyana	51	40
		
Gothatuwa	136	105
Hanwella	51	53
Homagama	88	72
Kaduwela	136	134
Kahathuduwa	36	44
Kesbewa	18	24
Kolonnawa	26	30
Maharagama	201	160
Moratuwa	77	63
Nugegoda	87	78
Padukka	32	32
Piliyandala	106	97
Pitakotte	33	40
Rathmalana	64	67
CMC		
D1-CMC	45	52
D2A-CMC	54	59
D2B-CMC	25	20
D3-CMC	82	73
D4-CMC	24	45
D5-CMC	25	19
Gampaha District		
Aththanagalla	67	61
Biyagama	321	207
Divulapitiya	24	31
Gampaha	105	93
Ja-Ela	169	178
Katana	82	73
Kelaniya	255	216
Mahara	201	195
Meerigama	34	41
Minuwangoda	91	91
Negombo	103	166
Pugoda(Dompe)	93	80
Ragama	55	72
Seeduwa	88	107
Wattala	149	203
Kalutara District		
Bandaragama	69	36
Bulathsinhala	14	15
Dodangoda PS	11	16
Horana	71	53
Ingiriya	13	20
Mathugama	19	20
Millaniya	19	15
