District/ Unit	No of Cases	%
Gampaha	20444	21.29%
Colombo	19008	19.79%
Kandy	7043	7.33%
Kalutara	6181	6.44%
Matara	6154	6.41%
Galle	5232	5.45%
Ratnapura	5101	5.31%
CMC	3862	4.02%
Kegalle	2809	2.92%
Kurunegala	2716	2.83%
Hambantota	2545	2.65%
Puttalam	2103	2.19%
Batticaloa	1532	1.60%
Badulla	1505	1.57%
