District/ Unit	No of Cases	%
NIHS	1265	1.32%
Monaragala	1197	1.25%
Kalmunai	1119	1.17%
Matale	991	1.03%
Anuradhapura	971	1.01%
Jaffna	970	1.01%
Nuwaraeliya	754	0.79%
Polonnaruwa	751	0.78%
Trincomalee	683	0.71%
Ampara	678	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.09%
Mullaitivu	75	0.08%
