Province	No of Cases	%
Western	50760	52.85%
Southern	13931	14.51%
Central	8788	9.15%
Sabaragamuwa	7910	8.24%
North Western	4819	5.02%
Eastern	4012	4.18%
Uva	2702	2.81%
North Central	1722	1.79%
Northern	1396	1.45%
