Province	No of Cases	%
Western	47824	52.96%
Southern	13361	14.80%
Central	8027	8.89%
Sabaragamuwa	7438	8.24%
North Western	4502	4.99%
Eastern	3738	4.14%
Uva	2516	2.79%
North Central	1578	1.75%
Northern	1322	1.46%
