District/ Unit	No of Cases	%
Gampaha	19204	21.27%
Colombo	17955	19.88%
Kandy	6413	7.10%
Matara	5971	6.61%
Kalutara	5871	6.50%
Galle	4968	5.50%
Ratnapura	4883	5.41%
CMC	3630	4.02%
Kegalle	2555	2.83%
Kurunegala	2542	2.81%
Hambantota	2422	2.68%
Puttalam	1960	2.17%
Batticaloa	1456	1.61%
Badulla	1387	1.54%
