District/ Unit	No of Cases	%
NIHS	1164	1.29%
Monaragala	1129	1.25%
Kalmunai	999	1.11%
Matale	933	1.03%
Jaffna	923	1.02%
Anuradhapura	866	0.96%
Polonnaruwa	712	0.79%
Nuwaraeliya	681	0.75%
Trincomalee	664	0.74%
Ampara	619	0.69%
Vavuniya	155	0.17%
Mannar	91	0.10%
Kilinochchi	83	0.09%
Mullaitivu	70	0.08%
