district_id	district_name	n_cases
LK-11	Colombo	19359
LK-11-CMC	CMC	3924
LK-12	Gampaha	20831
LK-13	Kalutara	6270
LK-13-NIHS	NIHS	1295
LK-21	Kandy	7340
LK-22	Matale	1013
LK-23	Nuwaraeliya	777
LK-31	Galle	5343
LK-32	Matara	6216
LK-33	Hambantota	2584
LK-41	Jaffna	1002
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	79
LK-45	Kilinochchi	94
LK-51	Batticaloa	1564
LK-52	Ampara	694
LK-52-Kalmunai	Kalmunai	1176
LK-53	Trincomalee	693
LK-61	Kurunegala	2768
LK-62	Puttalam	2147
LK-71	Anuradhapura	1012
LK-72	Polonnaruwa	771
LK-81	Badulla	1558
LK-82	Monaragala	1219
LK-91	Ratnapura	5169
LK-92	Kegalle	2922
