District/ Unit	No of Cases	%
Monaragala	974	1.26%
NIHS	926	1.20%
Kalmunai	887	1.15%
Jaffna	813	1.06%
Matale	802	1.04%
Anuradhapura	740	0.96%
Polonnaruwa	623	0.81%
Trincomalee	615	0.80%
Ampara	549	0.71%
Nuwaraeliya	522	0.68%
Vavuniya	131	0.17%
Mannar	85	0.11%
Kilinochchi	75	0.10%
Mullaitivu	48	0.06%
