District/ Unit	No of Cases	%
Gampaha	16164	20.98%
Colombo	15314	19.88%
Matara	5411	7.02%
Kandy	5168	6.71%
Kalutara	5063	6.57%
Ratnapura	4339	5.63%
Galle	4315	5.60%
CMC	3106	4.03%
Hambantota	2141	2.78%
Kurunegala	2111	2.74%
Kegalle	2098	2.72%
Puttalam	1597	2.07%
Batticaloa	1329	1.73%
Badulla	1082	1.40%
