Province	No of Cases	%
Western	40573	52.67%
Southern	11867	15.41%
Central	6492	8.43%
Sabaragamuwa	6437	8.36%
North Western	3708	4.81%
Eastern	3380	4.39%
Uva	2056	2.67%
North Central	1363	1.77%
Northern	1152	1.50%
