MOH Area	Cases reported	
	Week 20	Week 21
Biyagama	93	114
Gampaha	14	21
Ja-Ela	20	30
Katana	17	14
Kelaniya	37	51
Mahara	34	44
Minuwangoda	26	25
Pugoda(Dompe)	18	29
Ragama	10	15
Seeduwa	15	20
Wattala	17	25
Kalutara District		
Bandaragama	8	19
Bulathsinhala	10	14
Horana	24	27
Ingiriya	19	30
Madurawala	4	13
Panadura	16	22
Wadduwa	4	12
SOUTHERN PROVINCE		
Matara District		
Akuressa	2	10
Dickwella	3	10
Matara MC	33	50
Matara PS	3	14
