MOH Area	Cases reported	
	Week 20	Week 21
Weligama	9	21
Welipitiya	0	11
Galle District		
Bope Poddala	16	36
Elpitiya	9	10
MC Galle	11	15
Thawalama	13	15
CENTRAL PROVINCE		
Kandy District		
Gampola	6	14
Gangawata Korale	10	19
Kandy MC	20	32
Thalathuoya	2	10
Udunuwara	3	11
Waththegama	11	10
Werellagama	8	11
Yatinuwara	26	33
UVA PROVINCE		
Badulla District		
Badulla 6 11		
EASTERN PROVINCE		
Batticaloa District		
Batticaloa 18 14		
Kalmunai District		
