District/ RDHS	No. of cases					
	2025		2026		Up to Week 21	
					2025	2026
	Week  20	Week 21	Week  20	Week 21		
Colombo	347	361	356*	512	5982	8366
Gampaha	215	212	340*	419	3302	5228
Kalutara	44	55	129*	186	890	2146
Kandy	100	115	129*	188	1391	1410
Matale	10	21	19*	11	580	391
Nuwara Eliya	3	7	11*	16	76	127
Galle	51	57	107	133	989	2057
Hambantota	20	20	44*	48	387	929
Matara	33	31	94	165	737	2186
Jaffna	19	15	21	16	491	550
Kilinochchi	7	1	Nil	5	40	41
Mannar	6	Nil	4	2	89	40
Vavuniya	2	Nil	7	1	22	58
Mullaitivu	Nil	1	Nil	2	8	23
Batticaloa	52	56	45	48	1317	911
Ampara	4	4	12	4	63	215
Trincomalee	37	36	17	19	675	389
Kalmunai*	11	6	25	33	254	592
Kurunegala	50	45	44	32	520	819
Puttalam	11	9	24	27	353	549
Anuradhapura	9	5	10	10	246	243
Polonnaruwa	11	6	17	18	143	237
Badulla	14	21	17	25	304	384
Monaragala	10	19	15	11	382	415
Ratnapura	263	311	197*	232	2646	2240
Kegalle	40	45	67*	64	592	883
Total*		1369  1459  1751*  2227				22479  31429
