Deaths reported in 2026 [Districts/Admin area]					
District/area	No	District/area	No	District/area	No
Colombo	3	Gampaha	4	NIHS Kalutara	1
Hambantota	2	Galle	1	Kandy	1
Ratnapura	2	Kalutara	1	Trincomalee	1
