MOH Area	Cases reported	
	Week 20	Week 21
Addalaichchenai	11	15
NORTH WESTERN PROVINCE		
Puttalam District		
Wennappuwa 2 15		
SABARAGAMUWA PROVINCE		
Ratnapura District		
Ayagama	8	16
Elapatha	6	10
Embilipitiya	14	19
Godakawela	6	10
Kahawatta	9	14
Kalawana	7	11
Kuruvita	16	17
Nivithigala	14	21
Pelmadulla	14	24
Rathnapura MC	42	34
Ratnapura PS	30	23
Kegalle District		
Dehiovita 15 22		
