District/ Unit	No of Cases	%
Monaragala	816	1.25%
Kalmunai	809	1.24%
NIHS	742	1.14%
Jaffna	732	1.13%
Matale	681	1.05%
Trincomalee	577	0.89%
Anuradhapura	566	0.87%
Polonnaruwa	536	0.82%
Ampara	447	0.69%
Nuwaraeliya	385	0.59%
Vavuniya	111	0.17%
Mannar	67	0.10%
Kilinochchi	61	0.09%
Mullaitivu	39	0.06%
