District/ Unit	No of Cases	%
Gampaha	13322	20.48%
Colombo	13150	20.22%
Matara	4600	7.07%
Kalutara	4354	6.69%
Kandy	4091	6.29%
Galle	3767	5.79%
Ratnapura	3766	5.79%
CMC	2700	4.15%
Hambantota	1844	2.84%
Kegalle	1749	2.69%
Kurunegala	1742	2.68%
Puttalam	1250	1.92%
Batticaloa	1248	1.92%
Badulla	882	1.36%
