Province	No of Cases	%
Western	34268	52.69%
Southern	10211	15.70%
Sabaragamuwa	5515	8.48%
Central	5157	7.93%
Eastern	3081	4.74%
North Western	2992	4.60%
Uva	1698	2.61%
North Central	1102	1.69%
Northern	1010	1.55%
