District/ Unit	No of Cases	%
Gampaha	17135	21.18%
Colombo	16140	19.95%
Matara	5574	6.89%
Kandy	5515	6.82%
Kalutara	5294	6.54%
Ratnapura	4526	5.59%
Galle	4471	5.53%
CMC	3290	4.07%
Kurunegala	2228	2.75%
Kegalle	2217	2.74%
Hambantota	2215	2.74%
Puttalam	1696	2.10%
Batticaloa	1360	1.68%
Badulla	1179	1.46%
