District/ Unit	No of Cases	%
Monaragala	1011	1.25%
NIHS	976	1.21%
Kalmunai	905	1.12%
Jaffna	828	1.02%
Matale	824	1.02%
Anuradhapura	752	0.93%
Polonnaruwa	650	0.80%
Trincomalee	620	0.77%
Nuwaraeliya	585	0.72%
Ampara	565	0.70%
Vavuniya	136	0.17%
Mannar	86	0.11%
Kilinochchi	78	0.10%
Mullaitivu	49	0.06%
