Province	No of Cases	%
Western	42835	52.94%
Southern	12260	15.15%
Central	6924	8.56%
Sabaragamuwa	6743	8.33%
North Western	3924	4.85%
Eastern	3450	4.26%
Uva	2190	2.71%
North Central	1402	1.73%
Northern	1177	1.45%
