district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	335	354	370	379	5274	7522
LK-12	Gampaha	203	163	281	285	2875	4467
LK-13	Kalutara	49	52	129	129	791	1811
LK-21	Kandy	64	93	80	91	1176	1096
LK-22	Matale	21	17	6	9	549	361
LK-23	Nuwara Eliya	2	7	9	5	66	98
LK-31	Galle	49	53	73	69	881	1818
LK-32	Matara	19	16	90	91	673	1928
LK-33	Hambantota	15	17	19	46	347	835
LK-41	Jaffna	8	14	20	19	457	513
LK-42	Mannar	8	1	2	0	83	34
LK-43	Vavuniya	2	0	2	4	20	50
LK-44	Mullaitivu	0	0	2	0	7	21
LK-45	Kilinochchi	1	1	1	1	32	36
LK-51	Batticaloa	84	63	28	47	1209	819
LK-52	Ampara	3	3	8	4	55	199
LK-52-Kalmunai	Kalmunai	18	13	34	36	237	534
LK-53	Trincomalee	63	38	12	35	602	356
LK-61	Kurunegala	26	28	48	56	425	742
LK-62	Puttalam	12	14	24	31	333	498
LK-71	Anuradhapura	16	5	11	15	232	223
LK-72	Polonnaruwa	7	6	14	12	126	203
LK-81	Badulla	13	7	10	14	269	344
LK-82	Monaragala	18	13	25	27	353	386
LK-91	Ratnapura	280	248	130	159	2072	1812
LK-92	Kegalle	36	43	51	59	507	753
