hospital_name	n_cases_last_week	n_cases_this_week
	1819	0
	1819	0
	1819	0
BH - Balangoda	6	9
BH - Kahawatta	7	7
BH - Kamburupitiya	8	4
BH - Marawila	4	4
BH - Panadura	9	10
BH - Tangalle	6	9
BH - Wathupitiwala	6	7
DGH - Awissawella	12	16
DGH - Embilipitiya	5	7
DGH - Gampaha	16	16
DGH - Horana	29	24
DGH - Monaragala	2	4
DGH - Negambo	20	20
DGH - Polonnaruwa	3	4
DGH - Trincomalee	1	4
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	17	12
NH - Galle	19	17
NH Kandy	14	12
NHSL	26	29
NIID	59	56
PGH - Badulla	6	9
TH - Batticaloa	6	9
TH - Kalutara	12	11
TH - Kurunegala	17	30
TH - Peradeniya	14	24
TH - Ratnapura	42	54
TH – Colombo North	29	24
TH – Colombo South	32	24
TH-Matara	21	39
