moh_id	moh_area_name	district_id	district_name	n_cases_last_week	n_cases_this_week	population	n_cases_last_week_per_100k	n_cases_this_week_per_100k
LK-11-Battaramulla	Battaramulla	LK-11	Colombo	18	16	87511	20.568842774051262	18.28341579915668
LK-11-Boralesgamuwa	Boralesgamuwa	LK-11	Colombo	14	16	59240	23.632680621201892	27.008777852802158
LK-11-CMC	CMC & D3-CMC & D4-CMC	LK-11	Colombo	27	25	508408	5.310695347044106	4.917310506522321
LK-11-Kolonnawa	Gothatuwa & Kolonnawa	LK-11	Colombo	32	53	214070	14.948381370579716	24.758256645022655
LK-11-Hanwella	Hanwella	LK-11	Colombo	23	29	122128	18.83270011790908	23.745578409537536
LK-11-Kaduwela	Kaduwela	LK-11	Colombo	42	37	190407	22.058012573067167	19.432058695321075
LK-11-Kahathuduwa	Kahathuduwa	LK-11	Colombo	17	10	101625	16.728167281672818	9.84009840098401
LK-11-Maharagama	Maharagama	LK-11	Colombo	64	54	155965	41.034847561953	34.62315263039785
LK-11-Padukka	Padukka	LK-11	Colombo	14	17	73014	19.174404908647656	23.283205960500723
LK-11-Piliyandala	Piliyandala	LK-11	Colombo	10	29	204301	4.894738645430027	14.194742071747077
LK-11-Rathmalana	Rathmalana	LK-11	Colombo	17	15	88063	19.304361650182255	17.033260279572577
LK-12-Attanagalla	Aththanagalla	LK-12	Gampaha	16	14	199017	8.039514212353719	7.034574935809503
LK-12-Biyagama	Biyagama	LK-12	Gampaha	66	67	207155	31.86020129854457	32.34293162124979
LK-12-Gampaha	Gampaha	LK-12	Gampaha	16	14	201818	7.927935070211775	6.936943186435303
LK-12-Kelaniya	Kelaniya	LK-12	Gampaha	20	29	133755	14.952712048147733	21.68143246981421
LK-12-Mahara	Mahara	LK-12	Gampaha	24	29	226214	10.609422935804151	12.819719380763347
LK-12-Mirigama	Meerigama	LK-12	Gampaha	6	17	176309	3.4031161199938746	9.642162339982645
LK-12-Minuwangoda	Minuwangoda	LK-12	Gampaha	24	23	197883	12.12837889055654	11.623029770116686
LK-12-Dompe	Pugoda(Dompe)	LK-12	Gampaha	24	27	169223	14.182469286089951	15.955277946851195
LK-12-Seeduwa	Seeduwa	LK-12	Gampaha	13	17	119832	10.848521263101675	14.1865278055945
LK-12-Wattala	Wattala	LK-12	Gampaha	14	17	166517	8.407549979881933	10.209167832713776
LK-13-Horana	Horana	LK-13	Kalutara	23	21	133685	17.204622807345626	15.708568650185136
LK-13-Ingiriya	Ingiriya	LK-13	Kalutara	25	28	58361	42.83682596254348	47.977245078048696
LK-13-Panadura	Panadura	LK-13	Kalutara	16	20	249613	6.4099225601230705	8.012403200153837
LK-21-Ganga-Ihala-Korale	Gangawata Korale	LK-21	Kandy	6	11	53141	11.290717148717562	20.6996481059822
LK-21-Yatinuwara	Yatinuwara	LK-21	Kandy	10	17	113769	8.789740614754457	14.94255904508258
LK-32-Matara-Mc	Matara MC	LK-32	Matara	18	27	76322	23.58428762348995	35.37643143523493
LK-33-Hambantota	Hambantota	LK-33	Matara	0	0	67207	0.0	0.0
LK-33-Katuwana	Katuwana	LK-33	Matara	4	11	52169	7.667388679100615	21.08531886752669
LK-51-Batticaloa	Batticaloa	LK-51	Batticaloa	9	15	85114	10.574053622200813	17.623422703668023
LK-52-Addachchenai	Addalaichchenai	LK-52	Kalmunai	14	18	54874	25.51299340306885	32.80242008965995
LK-91-Ayagama	Ayagama	LK-91	Ratnapura	9	14	31506	28.565987430965528	44.43598044816861
LK-91-Embilipitiya	Embilipitiya	LK-91	Ratnapura	15	10	159438	9.40804576073458	6.272030507156387
LK-91-Nivithigala	Nivithigala	LK-91	Ratnapura	7	13	59442	11.776185188923655	21.870058208001076
LK-91-Pelmadulla	Pelmadulla	LK-91	Ratnapura	9	14	93818	9.593041846980324	14.92250953974717
LK-91-Ratnapura-Mc	Rathnapura MC	LK-91	Ratnapura	31	38	42633	72.7136255951962	89.13283137475665
LK-91-Ratnapura	Ratnapura PS	LK-91	Ratnapura	9	15	78533	11.460150509976698	19.100250849961164
LK-92-Dehiovita	Dehiovita	LK-92	Kegalle	13	24	84967	15.30005766944814	28.24626031282733
