hospital_name	n_cases_last_week	n_cases_this_week
	2021	0
	2021	0
	2021	0
BH - Balangoda	10	5
BH - Kahawatta	10	13
BH - Kamburupitiya	9	9
BH - Marawila	2	5
BH - Minuwangoda	4	5
BH - Panadura	7	15
BH - Tangalle	10	14
BH - Wathupitiwala	3	6
DGH - Awissawella	19	21
DGH - Embilipitiya	5	10
DGH - Gampaha	20	19
DGH - Hambantota	2	5
DGH - Horana	26	33
DGH - Kegalle	3	5
DGH - Nawalapitiya	4	5
DGH - Negambo	23	26
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	19	19
NH - Galle	24	37
NH - Kandy	18	29
NHSL	34	41
NIID	74	84
PGH - Badulla	10	11
TH - Batticaloa	12	10
TH - Kalutara	12	18
TH - Kurunegala	28	20
TH - Peradeniya	26	35
TH - Ratnapura	67	64
TH – Colombo North	28	42
TH – Colombo South	31	46
TH-Matara	46	62
