district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	347	361	356	512	5982	8366
LK-12	Gampaha	215	212	340	419	3302	5228
LK-13	Kalutara	44	55	129	186	890	2146
LK-21	Kandy	100	115	129	188	1391	1410
LK-22	Matale	10	21	19	11	580	391
LK-23	Nuwara Eliya	3	7	11	16	76	127
LK-31	Galle	51	57	107	133	989	2057
LK-32	Matara	33	31	94	165	737	2186
LK-33	Hambantota	20	20	44	48	387	929
LK-41	Jaffna	19	15	21	16	491	550
LK-42	Mannar	6	0	4	2	89	40
LK-43	Vavuniya	2	0	7	1	22	58
LK-44	Mullaitivu	0	1	0	2	8	23
LK-45	Kilinochchi	7	1	0	5	40	41
LK-51	Batticaloa	52	56	45	48	1317	911
LK-52	Trincomalee	37	36	17	19	675	389
LK-52-Kalmunai	Kalmunai	11	6	25	33	254	592
LK-53	Ampara	4	4	12	4	63	215
LK-61	Kurunegala	50	45	44	32	520	819
LK-62	Puttalam	11	9	24	27	353	549
LK-71	Anuradhapura	9	5	10	10	246	243
LK-72	Polonnaruwa	11	6	17	18	143	237
LK-81	Badulla	14	21	17	25	304	384
LK-82	Monaragala	10	19	15	11	382	415
LK-91	Ratnapura	263	311	197	232	2646	2240
LK-92	Kegalle	40	45	67	64	592	883
